Item Name,Item Variation,SKU,Category Rollup,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,GTIN
Point of sales,Regular,7662271,Rainbow 83 roll up,BTC,1,"$10,191.22",-1,"-$10,191.22",$0.00,$0.00,$0.00,ea,1,-1,""
Rainbow 83,Point Of Sales,"",Rainbow 83 roll up,BTC,2,"$137,000.00",-2,"-$137,000.00",$0.00,$0.00,$0.00,ea,2,-2,""
Point Of sales,Regular,"",Rainbow 83 roll up,BTC ,1,"$8,001.00",-1,"-$8,001.00",$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales 10000,Regular,V558687,Rainbow 83 roll up,Point of sales,1,"$1,000.00",-1,"-$1,000.00",$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales.                                                       8000,Regular,575077B,Rainbow 83 roll up,Point of sales,2,"$16,000.00",-2,"-$16,000.00",$0.00,$0.00,$0.00,ea,2,-2,""
Rainbow 83,Regular,332873P,Rainbow 83 roll up,Point of sales,6,"$78,616.55",-6,"-$78,616.55",$0.00,$0.00,$0.00,ea,6,-6,""
Rainbow 83,"Sale, Sales",134602W.,Rainbow 83 roll up,Point of sales,2,"$14,803.92",0,$0.00,"-$7,401.96","$7,401.96",$610.66,ea,2,0,""
Deposit ,Regular,"",Rainbow 83 roll up,Rainbow 83,6,"$297,289.64",-4,"-$197,289.64","-$50,000.00","$50,000.00","$2,062.50",ea,6,-4,""
Point of sales,Regular,"$2,500.00",Rainbow 83 roll up,Rainbow 83,7,"$3,028,042.72",-6,"-$2,028,042.73","-$500,000.00","$499,999.99",$0.00,ea,7,-6,""
Rainbow 83,Regular,163354633680,Rainbow 83 roll up,Rainbow 83,3,"$3,018,499.97",-3,"-$3,018,499.97",$0.00,$0.00,$0.00,ea,3,-3,""
Sku,Rainbow 83,4526076,Rainbow 83 roll up,Rainbow 83,1,$1.00,-1,-$1.00,$0.00,$0.00,$0.00,ea,1,-1,""
Point Of Sale ,Regular,"",Rainbow 83 roll up,Rainbow 83 ,1,$0.01,-1,-$0.01,$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales 10000,Regular,V558687,Rainbow 83 roll up,Rainbow 83 ,2,"$30,660.75",-1,"-$19,500.00","-$5,750.00","$5,410.75",$339.25,ea,2,-1,""
Custom Amount,No description,"",Other Categories,Uncategorized,85,"$1,013,833.29",-64,"-$814,110.31",-$20.00,"$199,702.98","$7,957.09",ea,85,-64,""
Consultation,Regular,"",Other Categories,Uncategorized,6,"$1,902,499.99",-5,"-$1,852,499.99",-$100.00,"$49,900.00",$0.00,ea,6,-5,""
Deed,Regular,"",Other Categories,Uncategorized,3,"$27,500.00",-3,"-$27,500.00",$0.00,$0.00,$0.00,ea,3,-3,""
Deposit,Regular,"",Other Categories,Uncategorized,5,"$1,179,999.99",-4,"-$1,129,999.99",$0.00,"$50,000.00","$1,435.00",ea,5,-4,""
Divorce,Regular,"",Other Categories,Uncategorized,2,"$100,000.00",-1,"-$50,000.00",$0.00,"$50,000.00","$4,125.00",ea,2,-1,""
Point of sales,Regular,1.00,Other Categories,Uncategorized,11,"$76,970.00",-11,"-$76,970.00",$0.00,$0.00,$0.00,ea,11,-11,""
Point of sales.                                                       8000,Regular,"",Other Categories,Uncategorized,1,"$8,000.00",-1,"-$8,000.00",$0.00,$0.00,$0.00,ea,1,-1,""
Point Of Sales,Regular,99999,Other Categories,GodsProperty ,3,"$29,211.27",-2,"-$19,474.18",$0.00,"$9,737.09",$262.90,ea,3,-2,""
Rainbow 83,Regular,T862212,Other Categories,GodsProperty ,1,"$50,000.00",0,$0.00,"-$25,250.00","$24,750.00","$2,041.88",ea,1,0,""
Consultation,Regular,"",Other Categories,Point Of Sales,2,"$74,014.12",-2,"-$74,014.12",$0.00,$0.00,$0.00,ea,2,-2,""
Point Of Sales,Regular,J584226,Other Categories,Point of Sales for Restaurants,1,$1.00,0,$0.00,$0.00,$1.00,$0.08,ea,1,0,""
Point of sales,"10000, 8000",999999,Other Categories,Point of Sales for Restaurants,1,"$9,737.09",-1,"-$9,737.09",$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales,"10000, Sales",9999999999,Other Categories,Point of Sales for Restaurants,1,"$10,000.00",0,$0.00,$0.00,"$10,000.00",$825.00,ea,1,0,9999999999
Rainbow 83,Regular,Y573589,Other Categories,Point of Sales for Restaurants,2,"$593,001.01",-2,"-$593,001.01",$0.00,$0.00,$0.00,ea,2,-2,""
Sku,Rainbow 83,F740196,Other Categories,Point of Sales for Restaurants,3,"$22,205.88",-3,"-$22,205.88",$0.00,$0.00,$0.00,ea,3,-3,""
Sku,Regular,S614967,Other Categories,Point of Sales for Restaurants,1,$1.00,-1,-$1.00,$0.00,$0.00,$0.00,ea,1,-1,""
