Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,GTIN
Custom Amount,No description,"",Uncategorized,69,"$930,833.29",-51,"-$741,110.31",$0.00,"$189,722.98","$8,041.24",ea,69,-51,""
Consultation,Regular,"",Uncategorized,6,"$1,902,499.99",-5,"-$1,852,499.99",-$100.00,"$49,900.00",$0.00,ea,6,-5,""
Deed,Regular,"",Uncategorized,3,"$27,500.00",-3,"-$27,500.00",$0.00,$0.00,$0.00,ea,3,-3,""
Deposit,Regular,"",Uncategorized,5,"$1,179,999.99",-4,"-$1,129,999.99",$0.00,"$50,000.00","$1,435.00",ea,5,-4,""
Divorce,Regular,"",Uncategorized,2,"$100,000.00",-1,"-$50,000.00",$0.00,"$50,000.00","$4,125.00",ea,2,-1,""
Point of sales,Regular,1.00,Uncategorized,11,"$76,970.00",-11,"-$76,970.00",$0.00,$0.00,$0.00,ea,11,-11,""
Point of sales.                                                       8000,Regular,"",Uncategorized,1,"$8,000.00",-1,"-$8,000.00",$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales,Regular,7662271,BTC,1,"$10,191.22",-1,"-$10,191.22",$0.00,$0.00,$0.00,ea,1,-1,""
Rainbow 83,Point Of Sales,"",BTC,2,"$137,000.00",-2,"-$137,000.00",$0.00,$0.00,$0.00,ea,2,-2,""
Point Of sales,Regular,"",BTC ,1,"$8,001.00",-1,"-$8,001.00",$0.00,$0.00,$0.00,ea,1,-1,""
Rainbow 83,Regular,Y573589,Point of Sales for Restaurants,2,"$593,001.01",-1,"-$19,412.01",$0.00,"$573,589.00","$47,321.09",ea,2,-1,""
Sku,Rainbow 83,F740196,Point of Sales for Restaurants,3,"$22,205.88",-3,"-$22,205.88",$0.00,$0.00,$0.00,ea,3,-3,""
Sku,Regular,S614967,Point of Sales for Restaurants,1,$1.00,-1,-$1.00,$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales 10000,Regular,V558687,Point of sales,1,"$1,000.00",-1,"-$1,000.00",$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales.                                                       8000,Regular,575077B,Point of sales,2,"$16,000.00",0,$0.00,$0.00,"$16,000.00","$1,320.00",ea,2,0,""
Rainbow 83,Regular,332873P,Point of sales,6,"$78,616.55",-6,"-$78,616.55",$0.00,$0.00,$0.00,ea,6,-6,""
Point of sales,Regular,"$2,500.00",Rainbow 83,7,"$3,028,042.72",-6,"-$2,028,042.73","-$500,000.00","$499,999.99",$0.00,ea,7,-6,""
Rainbow 83,Regular,163354633680,Rainbow 83,3,"$3,018,499.97",-3,"-$3,018,499.97",$0.00,$0.00,$0.00,ea,3,-3,""
Sku,Rainbow 83,4526076,Rainbow 83,1,$1.00,-1,-$1.00,$0.00,$0.00,$0.00,ea,1,-1,""
Point Of Sale ,Regular,"",Rainbow 83 ,1,$0.01,-1,-$0.01,$0.00,$0.00,$0.00,ea,1,-1,""
Point of sales 10000,Regular,V558687,Rainbow 83 ,2,"$30,660.75",-1,"-$19,500.00","-$5,750.00","$5,410.75",$339.25,ea,2,-1,""
