Sales Summary Displayed by Location,Gross Sales,Refunds,Discounts & Comps,Net Sales,Gift Card Sales,Tax,Tip,Partial Refunds,Total Collected,Fees,Net Total
Color of love,"$40,196.09",$0.00,$0.00,"$40,196.09",$0.00,$803.91,$0.00,$0.00,"$41,000.00",$0.00,"$41,000.00"
God bless,"$141,225.50","-$1,000.00","-$1,500.00","$138,725.50",$0.00,"$2,574.50",$0.00,$0.00,"$141,300.00",$0.00,"$141,300.00"
Rainbow 83,"$163,826.41","-$121,633.30",$0.00,"$42,193.11",$0.00,"$3,866.43",$0.00,$0.00,"$46,059.54",$0.00,"$46,059.54"
Rainbow  83,"$23,529.42",$0.00,$0.00,"$23,529.42",$0.00,$470.58,$0.00,$0.00,"$24,000.00",$0.00,"$24,000.00"
Gods love,"$24,509.81",$0.00,$0.00,"$24,509.81",$0.00,$490.19,$0.00,$0.00,"$25,000.00",$0.00,"$25,000.00"
Rainbow83,"$15,686.28",$0.00,$0.00,"$15,686.28",$0.00,$313.72,$0.00,$0.00,"$16,000.00",$0.00,"$16,000.00"
Godsproperty,"$26,960.79","-$19,117.65",$0.00,"$7,843.14",$0.00,$156.86,$0.00,$0.00,"$8,000.00",$0.00,"$8,000.00"
http://rainbow-83-101586.square.site/,"$31,372.56",$0.00,$0.00,"$31,372.56",$0.00,$627.44,$0.00,$0.00,"$32,000.00",$0.00,"$32,000.00"
Rainbow   83,"$24,509.81",$0.00,$0.00,"$24,509.81",$0.00,$490.19,$0.00,$0.00,"$25,000.00",$0.00,"$25,000.00"
Rainbow       83,"$102,583.83","-$32,000.00",$0.00,"$70,583.83",$0.00,"$2,416.17",$0.00,$0.00,"$73,000.00",$0.00,"$73,000.00"
